RCA_GROSS_INCOME;TYP_PAST_SEMESTER;IDE_SOURCESYS_REF
16995974.18;5;CKV
17335507.97;6;CKV
18074021.28;4;CKV
19033608.05;3;CKV
20911203.90;1;CKV
21246233.38;2;CKV
