STATUS;VALID_ON;LOT_TYPE_FK;IDE_CG_REF;IDE_CRM_GROUP_REF;IDE_POSITION_REF;IDE_POSITION_TYPE;IDE_EXP_CPTY_REF;IDE_COL_CPTY_REF;RCA_COL_MAX
5;20231231;1;CRM_1009495_606081;CRM_1009495;POS_606081;3;;;
5;20231231;1;CRM_1009497_606082;CRM_1009497;POS_606082;3;;;
5;20231231;1;CRM_1009498_606083;CRM_1009498;POS_606083;3;;;
5;20231231;1;CRM_1009499_606085;CRM_1009499;POS_606085;3;;;
5;20231231;1;CRM_1009500_606086;CRM_1009500;POS_606086;3;;;
5;20231231;1;CRM_1004236_606087;CRM_1004236;POS_606087;3;;;
5;20231231;1;CRM_1009504_606088;CRM_1009504;POS_606088;3;;;
5;20231231;1;CRM_1009505_606089;CRM_1009505;POS_606089;3;;;
5;20231231;1;CRM_0905614_606091;CRM_0905614;POS_606091;3;;;
5;20231231;1;CRM_1009508_606092;CRM_1009508;POS_606092;3;;;
5;20231231;1;CRM_1009515_606095;CRM_1009515;POS_606095;3;;;
5;20231231;1;CRM_1009517_606096;CRM_1009517;POS_606096;3;;;
5;20231231;1;CRM_1009517_606097;CRM_1009517;POS_606097;3;;;
5;20231231;1;CRM_1009519_606100;CRM_1009519;POS_606100;3;;;
5;20231231;1;CRM_1009524_606105;CRM_1009524;POS_606105;3;;;
5;20231231;1;CRM_1009527_606108;CRM_1009527;POS_606108;3;;;
5;20231231;1;CRM_1009528_606109;CRM_1009528;POS_606109;3;;;
5;20231231;1;CRM_0952501_606113;CRM_0952501;POS_606113;3;;;
5;20231231;1;CRM_1009530_606116;CRM_1009530;POS_606116;3;;;
5;20231231;1;CRM_1009531_606117;CRM_1009531;POS_606117;3;;;
5;20231231;1;CRM_1009533_606119;CRM_1009533;POS_606119;3;;;
5;20231231;1;CRM_1009535_606121;CRM_1009535;POS_606121;3;;;
5;20231231;1;CRM_1009539_606124;CRM_1009539;POS_606124;3;;;
5;20231231;1;CRM_1009541_606126;CRM_1009541;POS_606126;3;;;
5;20231231;1;CRM_1009542_606127;CRM_1009542;POS_606127;3;;;
5;20231231;1;CRM_1009545_606130;CRM_1009545;POS_606130;3;;;
5;20231231;1;CRM_1002067_606131;CRM_1002067;POS_606131;3;;;
5;20231231;1;CRM_1002067_606132;CRM_1002067;POS_606132;3;;;
5;20231231;1;CRM_1003474_606133;CRM_1003474;POS_606133;3;;;
5;20231231;1;CRM_1003474_606134;CRM_1003474;POS_606134;3;;;
5;20231231;1;CRM_1009548_606137;CRM_1009548;POS_606137;3;;;
5;20231231;1;CRM_1009550_606139;CRM_1009550;POS_606139;3;;;
5;20231231;1;CRM_1009551_606140;CRM_1009551;POS_606140;3;;;
5;20231231;1;CRM_1009552_606141;CRM_1009552;POS_606141;3;;;
5;20231231;1;CRM_1009556_606144;CRM_1009556;POS_606144;3;;;
5;20231231;1;CRM_1009556_606145;CRM_1009556;POS_606145;3;;;
5;20231231;1;CRM_1009557_606146;CRM_1009557;POS_606146;3;;;
5;20231231;1;CRM_1001532_606147;CRM_1001532;POS_606147;3;;;
5;20231231;1;CRM_1009558_606149;CRM_1009558;POS_606149;3;;;
5;20231231;1;CRM_1009562_606153;CRM_1009562;POS_606153;3;;;
5;20231231;1;CRM_1009564_606155;CRM_1009564;POS_606155;3;;;
5;20231231;1;CRM_1008759_606156;CRM_1008759;POS_606156;3;;;
5;20231231;1;CRM_1009565_606157;CRM_1009565;POS_606157;3;;;
5;20231231;1;CRM_1009568_606158;CRM_1009568;POS_606158;3;;;
5;20231231;1;CRM_1003994_606162;CRM_1003994;POS_606162;3;;;
5;20231231;1;CRM_1003994_606163;CRM_1003994;POS_606163;3;;;
5;20231231;1;CRM_1004021_606164;CRM_1004021;POS_606164;3;;;
5;20231231;1;CRM_1009572_606166;CRM_1009572;POS_606166;3;;;
5;20231231;1;CRM_1009575_606168;CRM_1009575;POS_606168;3;;;
5;20231231;1;CRM_1003316_606169;CRM_1003316;POS_606169;3;;;
5;20231231;1;CRM_1003316_606170;CRM_1003316;POS_606170;3;;;
5;20231231;1;CRM_1009592_606174;CRM_1009592;POS_606174;3;;;
5;20231231;1;CRM_1009595_606178;CRM_1009595;POS_606178;3;;;
5;20231231;1;CRM_1002867_606182;CRM_1002867;POS_606182;3;;;
5;20231231;1;CRM_1009604_606186;CRM_1009604;POS_606186;3;;;
5;20231231;1;CRM_1009607_606190;CRM_1009607;POS_606190;3;;;
5;20231231;1;CRM_0906291_606191;CRM_0906291;POS_606191;3;;;
