STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;IDE_INTERNAL_PARTY_REF;IDE_CONTRACT_REF;TYP_DC_INDICATOR;CCY_ISO_CURRENCY;OCA_AMOUNT;RCA_AMOUNT;TYP_AMOUNT;DTE_VALUE;IDE_SCENARIO_FK;AUDIT_INFO
5;20231231;1;PRL_4111100;CTP_CKV;;2;EUR;3628458.95;3628458.95;1;31/12/2023;1;
5;20231231;1;PRL_4112410;CTP_CKV;;2;EUR;1115840.61;1115840.61;1;31/12/2023;1;
5;20231231;1;PRL_4112420;CTP_CKV;;2;EUR;10422.97;10422.97;1;31/12/2023;1;
5;20231231;1;PRL_4112421;CTP_CKV;;2;EUR;124713.64;124713.64;1;31/12/2023;1;
5;20231231;1;PRL_4112430;CTP_CKV;;2;EUR;21753.81;21753.81;1;31/12/2023;1;
5;20231231;1;PRL_4112440;CTP_CKV;;2;EUR;6016.20;6016.20;1;31/12/2023;1;
5;20231231;1;PRL_4112480;CTP_CKV;;2;EUR;5532.58;5532.58;1;31/12/2023;1;
5;20231231;1;PRL_4112491;CTP_CKV;;2;EUR;112.68;112.68;1;31/12/2023;1;
5;20231231;1;PRL_4112492;CTP_CKV;;1;EUR;3926.26;3926.26;1;31/12/2023;1;
5;20231231;1;PRL_4112493;CTP_CKV;;2;EUR;26387.87;26387.87;1;31/12/2023;1;
5;20231231;1;PRL_4112494;CTP_CKV;;2;EUR;92808.88;92808.88;1;31/12/2023;1;
5;20231231;1;PRL_4112510;CTP_CKV;;2;EUR;39966784.00;39966784.00;1;31/12/2023;1;
5;20231231;1;PRL_4112511;CTP_CKV;;1;EUR;0.00;0.00;1;31/12/2023;1;
5;20231231;1;PRL_4112512;CTP_CKV;;2;EUR;370972.07;370972.07;1;31/12/2023;1;
5;20231231;1;PRL_4112520;CTP_CKV;;2;EUR;567477.47;567477.47;1;31/12/2023;1;
5;20231231;1;PRL_4112521;CTP_CKV;;2;EUR;23448.30;23448.30;1;31/12/2023;1;
5;20231231;1;PRL_4112522;CTP_CKV;;2;EUR;1759.48;1759.48;1;31/12/2023;1;
5;20231231;1;PRL_4112530;CTP_CKV;;2;EUR;2011207.75;2011207.75;1;31/12/2023;1;
5;20231231;1;PRL_4112531;CTP_CKV;;2;EUR;32266.47;32266.47;1;31/12/2023;1;
5;20231231;1;PRL_4112540;CTP_CKV;;1;EUR;543017.40;543017.40;1;31/12/2023;1;
5;20231231;1;PRL_4112550;CTP_CKV;;2;EUR;182710.92;182710.92;1;31/12/2023;1;
5;20231231;1;PRL_4112580;CTP_CKV;;2;EUR;607294.13;607294.13;1;31/12/2023;1;
