STATUS;VALID_ON;LOT_TYPE_FK;IDE_SCENARIO_FK;IDE_GL_REF;IDE_GL_DETAIL_REF;IDE_GL_ENTITY_REF;TYP_AMOUNT;IDE_CONTRACT_REF;IDE_INTERNAL_PARTY_REF;TYP_DC_INDICATOR;CCY_ISO_CURRENCY;OCA_AMOUNT;RCA_AMOUNT;TYP_GL_TYPE;DTE_VALUE;AUDIT_INFO
5;20240331;1;1;GEL_1111100;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1112100;0;0;1;;CTP_CKV;1;EUR;5000.00;5000.00;2;31/03/2024;
5;20240331;1;1;GEL_1112101;0;0;1;;CTP_CKV;1;EUR;55993.76;55993.76;2;31/03/2024;
5;20240331;1;1;GEL_1112200;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1112300;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1112900;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1112910;0;0;1;;CTP_CKV;2;EUR;12763.20;12763.20;2;31/03/2024;
5;20240331;1;1;GEL_1114100;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1114200;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1114300;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1222100;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1222110;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1222310;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1222311;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1222320;0;0;1;;CTP_CKV;1;EUR;1358487.64;1358487.64;2;31/03/2024;
5;20240331;1;1;GEL_1222330;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1222610;0;0;1;;CTP_CKV;1;EUR;1272257.27;1272257.27;2;31/03/2024;
5;20240331;1;1;GEL_1222620;0;0;1;;CTP_CKV;1;EUR;13445.00;13445.00;2;31/03/2024;
5;20240331;1;1;GEL_1222630;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1222640;0;0;1;;CTP_CKV;1;EUR;10151.23;10151.23;2;31/03/2024;
5;20240331;1;1;GEL_1431000;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1431100;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1431101;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1431102;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1431103;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1432000;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1433000;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1434000;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1435000;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1436000;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1511100;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1511120;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1511170;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/03/2024;
5;20240331;1;1;GEL_1610000;0;0;1;;CTP_CKV;1;EUR;1203735.70;1203735.70;2;31/03/2024;
