STATUS;VALID_ON;LOT_TYPE_FK;CDE_INTERNAL_RATING;CCY_ISO_CURRENCY;DES_INTERNAL_RATING;IDE_COUNTERPARTY_REF;IDE_LIMIT_REF;IDE_RATING_INT_REF;IDE_CONTRACT_REF;IDE_INTERNAL_PARTY_REF;IDE_INTERNAL_ONE;IDE_INTERNAL_TWO;TYP_CREDIT_ASSESSMENT
5;20240331;1;2;EUR;;GRP_1003386;;POS_603485;CON_1003386;CTP_CKV;07/06/2017;;
5;20240331;1;2;EUR;;GRP_1003393;;POS_603492;CON_1003393;CTP_CKV;12/06/2017;;
5;20240331;1;2;EUR;;GRP_1003398;;POS_603500;CON_1003398;CTP_CKV;13/06/2017;;
5;20240331;1;7;EUR;;GRP_1003399;;POS_603501;CON_1003399;CTP_CKV;12/01/2022;;
5;20240331;1;2;EUR;;GRP_1003400;;POS_603502;CON_1003400;CTP_CKV;13/06/2017;;
5;20240331;1;5;EUR;;GRP_0902190;;POS_603504;CON_0902190;CTP_CKV;17/01/2023;;
5;20240331;1;2;EUR;;GRP_1003404;;POS_603508;CON_1003404;CTP_CKV;14/06/2017;;
5;20240331;1;2;EUR;;GRP_1003408;;POS_603513;CON_1003408;CTP_CKV;14/06/2017;;
5;20240331;1;2;EUR;;GRP_1003413;;POS_603520;CON_1003413;CTP_CKV;02/01/2018;;
5;20240331;1;2;EUR;;GRP_1003416;;POS_603524;CON_1003416;CTP_CKV;26/03/2020;;
5;20240331;1;2;EUR;;GRP_1003417;;POS_603526;CON_1003417;CTP_CKV;19/06/2017;;
5;20240331;1;2;EUR;;GRP_1003418;;POS_603527;CON_1003418;CTP_CKV;16/06/2017;;
5;20240331;1;4;EUR;;GRP_0907350;;POS_603529;CON_0907350;CTP_CKV;02/05/2019;;
5;20240331;1;2;EUR;;GRP_1003421;;POS_603533;CON_1003421;CTP_CKV;19/06/2017;;
5;20240331;1;2;EUR;;GRP_1003422;;POS_603534;CON_1003422;CTP_CKV;30/10/2019;;
5;20240331;1;2;EUR;;GRP_1003422;;POS_603535;CON_1003422;CTP_CKV;30/03/2022;;
5;20240331;1;2;EUR;;GRP_1003430;;POS_603546;CON_1003430;CTP_CKV;21/06/2017;;
5;20240331;1;5;EUR;;GRP_1003431;;POS_603547;CON_1003431;CTP_CKV;05/11/2018;;
5;20240331;1;2;EUR;;GRP_1003432;;POS_603548;CON_1003432;CTP_CKV;20/06/2017;;
5;20240331;1;2;EUR;;GRP_1003436;;POS_603553;CON_1003436;CTP_CKV;20/06/2017;;
5;20240331;1;2;EUR;;GRP_1003436;;POS_603554;CON_1003436;CTP_CKV;02/06/2019;;
5;20240331;1;2;EUR;;GRP_1003437;;POS_603555;CON_1003437;CTP_CKV;21/06/2017;;
5;20240331;1;2;EUR;;GRP_1003439;;POS_603559;CON_1003439;CTP_CKV;22/06/2017;;
5;20240331;1;2;EUR;;GRP_1003440;;POS_603561;CON_1003440;CTP_CKV;23/06/2017;;
5;20240331;1;2;EUR;;GRP_0908174;;POS_603563;CON_0908174;CTP_CKV;01/06/2017;;
5;20240331;1;2;EUR;;GRP_1003443;;POS_603567;CON_1003443;CTP_CKV;20/06/2017;;
5;20240331;1;4;EUR;;GRP_1003727;;POS_603575;CON_1003727;CTP_CKV;17/08/2023;;
5;20240331;1;2;EUR;;GRP_1003728;;POS_603576;CON_1003728;CTP_CKV;28/06/2017;;
5;20240331;1;2;EUR;;GRP_1003728;;POS_603577;CON_1003728;CTP_CKV;28/06/2017;;
5;20240331;1;2;EUR;;GRP_1003737;;POS_603590;CON_1003737;CTP_CKV;26/06/2017;;
5;20240331;1;2;EUR;;GRP_1003738;;POS_603591;CON_1003738;CTP_CKV;21/05/2021;;
5;20240331;1;2;EUR;;GRP_1003738;;POS_603592;CON_1003738;CTP_CKV;20/05/2022;;
5;20240331;1;3;EUR;;GRP_1003739;;POS_603593;CON_1003739;CTP_CKV;11/07/2022;;
5;20240331;1;3;EUR;;GRP_1003743;;POS_603598;CON_1003743;CTP_CKV;05/09/2023;;
5;20240331;1;2;EUR;;GRP_1003749;;POS_603605;CON_1003749;CTP_CKV;30/06/2017;;
5;20240331;1;2;EUR;;GRP_1003751;;POS_603607;CON_1003751;CTP_CKV;13/05/2022;;
5;20240331;1;2;EUR;;GRP_0952650;;POS_603608;CON_0952650;CTP_CKV;01/07/2017;;
5;20240331;1;2;EUR;;GRP_1003752;;POS_603609;CON_1003752;CTP_CKV;06/07/2017;;
5;20240331;1;2;EUR;;GRP_1003753;;POS_603610;CON_1003753;CTP_CKV;04/07/2017;;
5;20240331;1;5;EUR;;GRP_1003754;;POS_603611;CON_1003754;CTP_CKV;12/07/2023;;
5;20240331;1;2;EUR;;GRP_1003758;;POS_603617;CON_1003758;CTP_CKV;06/07/2017;;
5;20240331;1;2;EUR;;GRP_0905131;;POS_603623;CON_0905131;CTP_CKV;07/07/2017;;
5;20240331;1;2;EUR;;GRP_1001088;;POS_603634;CON_1001088;CTP_CKV;14/07/2017;;
5;20240331;1;2;EUR;;GRP_1003771;;POS_603638;CON_1003771;CTP_CKV;14/07/2017;;
5;20240331;1;2;EUR;;GRP_1003771;;POS_603639;CON_1003771;CTP_CKV;16/01/2019;;
5;20240331;1;2;EUR;;GRP_1003772;;POS_603640;CON_1003772;CTP_CKV;27/05/2020;;
5;20240331;1;2;EUR;;GRP_1003778;;POS_603646;CON_1003778;CTP_CKV;06/10/2021;;
5;20240331;1;2;EUR;;GRP_1003782;;POS_603652;CON_1003782;CTP_CKV;18/07/2017;;
5;20240331;1;2;EUR;;GRP_1003782;;POS_603653;CON_1003782;CTP_CKV;18/07/2017;;
5;20240331;1;2;EUR;;GRP_1003785;;POS_603657;CON_1003785;CTP_CKV;04/10/2021;;
