STATUS;VALID_ON;LOT_TYPE_FK;TYP_ENTRY_TYPE;DTE_DEAL;DTE_ISSUE;DTE_EARLY_REDEMPTION;DTE_MATURITY;DTE_NEXT_SETTLEMENT;DTE_NEXT_INT_FIX;IDE_COUNTERPARTY_REF;IDE_ISSUER_REF;IDE_PRICING_IDENTIFIER;IDE_SOURCESYS_REF;IDE_POSITION_REF;IDE_REPO_REF;IDE_CONTRACT_REF;IDE_ISIN;DES_SECURITY;IDE_INTERNAL_PARTY_REF;PER_OWNERSHIP;PER_VOTINGRIGHT;PRD_PRODUCT;QUA_NUMBEROFUNITS;RTE_AAR_INTEREST;TYP_BS_INDICATOR;TYP_FIDUCIARY_SERV;TYP_CONVERTIBLE;TYP_LISTED;TYP_MANAGED_ASSET;TYP_LOCAL_FUNDING;TYP_QUALIFYING;TYP_RISK_QUAL_INDIC;TYP_THIRDPARTY_INDIC;TYP_SUBORDINATION;TYP_INTEREST_RATE;TYP_VALUATION_METHOD;TYP_PURPOSE;TYP_PORTFOLIO;IDE_CUSTODIAN_REF;TYP_PLEDGED;TYP_CAP_GUARANTEE;TYP_CONTRACT;AUDIT_INFO;TYP_MARKETABLE;TYP_ASSET_BACKED;TYP_LIQ_ELIGIBLE;DTE_INELIGIBLE;TYP_LIQ_QUALITY;DTE_PAST_DUE;TYP_EARLY_REPAYMENT;TYP_LIQ_PURPOSE;TYP_TRADABLE;TYP_PRICE_DETERMINATION;TYP_LIQ_AVAILABILITY;TYP_LIQ_MANAGEMENT;TYP_OPERATIONALLY_LIQ;TYP_PROMOTIONAL_LOAN;TYP_MKT_CONCENTRATION;TYP_LIQ_SOURCE_RELIABILITY;TYP_CCP_EXPOSURE;PER_EXPOSURE_HCT;TYP_INDEX;TYP_LIQ_RETAIL;TYP_OMO;TYP_REHYPOTH;RTE_YIELD_SPREAD;TYP_LCR_ASSET;PER_LCR;TYP_COVERBOND;TYP_PRIMARY_CLASS_COVER_POOL;PER_OVERCOLL_CONTRACTUAL;TYP_INFLOW_CAP;TYP_CIU_COMPLIANCE;DTE_INT_START;TYP_INTEREST_PAY_FREQUENCY;TYP_LCR_ELIGIBLE;PER_COLL_HCT_ECB;TYP_OBLIGATED_INV;CDE_COMMODITY;DTE_SETTLEMENT;TYP_EXCLUDE_LCR;DTE_POSSESSION;IDE_PTF_REF;PER_MIN_COLL_COV;PRD_INSURANCE;TYP_CONTINUING_INV;TYP_FAIRV_ASSESS;TYP_FV_OPTION;TYP_IMPAIRMENT;TYP_IMPAIRMENT_OPEN;TYP_LEASING_TYPE;TYP_NON_PERFORMING;TYP_PAYMENT_SERV;TYP_PORTFOLIO_IFRS9;TYP_PROBATION;TYP_RESTRUCTURED;TYP_SEPARATED_CONTRACT;TYP_WRITE_OFF;MAT_PAST_DUE;TYP_ORIGIN_INV;TYP_SECURITISATION;TYP_SETT_CREDIT;TYP_RESECURITISATION;TYP_CORRELATION_TRADING;PER_AVG_WEIGHT;TYP_ASSESSMENT;TYP_ELIGIBILITY_FUND;IDE_SECURITISATION_REF;TYP_DEDUCTION;TYP_COREP_TRAD_POS;TYP_SIGNIFICANT_INVEST;IDE_CONVERTIBLE_REF;TYP_MAND_CONVERTIBLE;DTE_CLEANUP;DTE_TERMINATION;CTY_ASSETS_SECURITISED;RTE_MOD_DURATION;IDE_TRANSFEREE_REF;RTE_DURATION;IDE_INTERNAL_ONE;IDE_INTERNAL_TWO;IDE_BROKER_REF;RTE_SPREAD;MAT_ORIGINAL;IDE_IBAN
5;20240331;1;0;01/07/2015;01/07/2015;;01/07/2025;;;GRP_908402020480;CTP_CKV;;PROGRESS 600SEC;POS_530031701140;;CON_908402020480;;;CTP_CKV;;;300901;1;0.0275;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_4948;184;3653;
5;20240331;1;0;15/07/2015;15/07/2015;;15/07/2025;;;GRP_908402031796;CTP_CKV;;PROGRESS 600SEC;POS_530034701167;;CON_908402031796;;;CTP_CKV;;;300901;1;0.0275;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_8200;193;3653;
5;20240331;1;0;15/07/2015;15/07/2015;;15/07/2025;;;GRP_908401002586;CTP_CKV;;PROGRESS 600SEC;POS_530035701176;;CON_908401002586;;;CTP_CKV;;;300901;1;0.0275;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_3003;193;3653;
5;20240331;1;0;15/09/2015;15/09/2015;;15/09/2025;;;GRP_908402019470;CTP_CKV;;PROGRESS 600SEC;POS_530036701185;;CON_908402019470;;;CTP_CKV;;;300901;1;0.0275;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_4948;203;3653;
5;20240331;1;0;15/05/2016;15/05/2016;;15/05/2026;;;GRP_908428001225;CTP_CKV;;PROGRESS 600SEC;POS_530037701295;;CON_908428001225;;;CTP_CKV;;;300901;1;0.0160;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_4948;151;3652;
5;20240331;1;0;01/08/2016;01/08/2016;;01/08/2026;;;GRP_908400001567;CTP_CKV;;PROGRESS 600SEC;POS_530038701308;;CON_908400001567;;;CTP_CKV;;;300901;1;0.0145;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_3620;170;3652;
5;20240331;1;0;01/09/2016;01/09/2016;;01/09/2026;;;GRP_908400001567;CTP_CKV;;PROGRESS 600SEC;POS_530039701317;;CON_908400001567;;;CTP_CKV;;;300901;1;0.0145;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_3620;162;3652;
5;20240331;1;0;01/04/2014;01/04/2014;01/04/2024;01/04/2024;;;GRP_908402031291;CTP_CKV;;PROGRESS 600SEC;POS_630002700804;;CON_908402031291;;;CTP_CKV;;;300901;1;0.0325;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_8200;152;3653;
5;20240331;1;0;15/04/2015;15/04/2015;;15/04/2025;;;GRP_908427000307;CTP_CKV;;PROGRESS 600SEC;POS_630004701125;;CON_908427000307;;;CTP_CKV;;;300901;1;0.0275;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_3003;268;3653;
5;20240331;1;0;10/08/2020;10/08/2020;;10/08/2025;;;GRP_908499007750;CTP_KBC;;PROGRESS 600SEC;POS_6348752;;CON_908499007750;;;CTP_CKV;;;300800;1;0.0000;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Schuldbewijs;KasBon;BRO_3000;;0;
5;20240331;1;0;04/06/2021;04/06/2021;;04/06/2026;;;GRP_908499008356;CTP_KBC;;PROGRESS 600SEC;POS_6362065;;CON_908499008356;;;CTP_CKV;;;300800;1;0.0000;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Schuldbewijs;KasBon;BRO_3000;;0;
5;20240331;1;0;11/08/2021;11/08/2021;;11/08/2026;;;GRP_908499008255;CTP_KBC;;PROGRESS 600SEC;POS_6364022;;CON_908499008255;;;CTP_CKV;;;300800;1;0.0000;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Schuldbewijs;KasBon;BRO_3000;;0;
