STATUS;VALID_ON;LOT_TYPE_FK;IDE_GL_REF;IDE_GL_DETAIL_REF;IDE_GL_ENTITY_REF;CDE_C013;CDE_CBF_RC;TYP_ECOSECTOR_CODE;TYP_RESIDUAL_DURATION;CDE_REP_PRUD_NONBANK;PRD_PRODUCT;TYP_OWN_FUND_GUAR;CDE_C018;CDE_C022;CDE_C081;AUDIT_INFO;DTE_END_INSTR;TYP_PURPOSE_CCR
5;20240331;1;GEL_2223174;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2223300;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2223310;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2323000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2323010;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2323015;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411100;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411110;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411200;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411210;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411211;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411220;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411230;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411240;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411250;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411260;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411270;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411280;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411290;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411291;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411295;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411296;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411300;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411310;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411320;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411330;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411400;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2411500;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2412100;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2412150;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2412200;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2412210;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2412300;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2412400;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2412500;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2412510;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421050;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421060;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421100;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421150;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421300;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421400;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421500;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_2421501;0;0;;;;;;;;;;;;;
