STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;CDE_C013;DTE_END_PROT;PRD_PRODUCT;AUDIT_INFO
5;20240331;1;POS_0905685_HI_01;;04/04/2028;;
5;20240331;1;POS_0905701_HI_02;;01/04/2028;;
5;20240331;1;POS_0905729_HI_01;;01/05/2028;;
5;20240331;1;POS_0905736_HI_01;;01/05/2028;;
5;20240331;1;POS_0905738_HI_01;;01/06/2033;;
5;20240331;1;POS_0905781_HI_01;;01/06/2028;;
5;20240331;1;POS_0905794_HI_01;;01/05/2033;;
5;20240331;1;POS_0905796_HI_01;;01/08/2028;;
5;20240331;1;POS_0905806_HI_01;;01/08/2028;;
5;20240331;1;POS_0905834_HI_01;;12/03/2027;;
5;20240331;1;POS_0905863_HI_01;;01/08/2028;;
5;20240331;1;POS_0905868_HI_01;;01/12/2042;;
5;20240331;1;POS_0905868_HI_02;;01/12/2042;;
5;20240331;1;POS_0905889_HI_01;;01/04/2036;;
5;20240331;1;POS_0905924_HI_01;;01/01/2029;;
5;20240331;1;POS_0905943_HI_01;;01/12/2028;;
5;20240331;1;POS_0905943_HI_02;;01/12/2028;;
5;20240331;1;POS_0905943_HI_03;;01/12/2028;;
5;20240331;1;POS_0905952_HI_01;;01/11/2028;;
5;20240331;1;POS_0905952_HI_02;;01/11/2028;;
5;20240331;1;POS_0905952_HI_03;;01/11/2028;;
5;20240331;1;POS_0905952_HI_04;;01/11/2028;;
5;20240331;1;POS_0905952_HI_05;;01/11/2028;;
5;20240331;1;POS_0905984_HI_01;;18/12/2028;;
5;20240331;1;POS_0905994_HI_01;;01/12/2028;;
5;20240331;1;POS_0906024_HI_01;;01/02/2029;;
5;20240331;1;POS_0906030_HI_01;;01/01/2024;;
5;20240331;1;POS_0906048_HI_01;;01/02/2024;;
5;20240331;1;POS_0906055_HI_01;;01/02/2029;;
5;20240331;1;POS_0906055_HI_02;;01/02/2029;;
5;20240331;1;POS_0906056_HI_01;;07/02/2029;;
5;20240331;1;POS_0906056_HI_02;;07/02/2029;;
5;20240331;1;POS_0906060_HI_02;;01/02/2034;;
5;20240331;1;POS_0906094_HI_01;;01/03/2029;;
5;20240331;1;POS_0906094_HI_02;;01/03/2029;;
5;20240331;1;POS_0906116_HI_01;;01/02/2027;;
5;20240331;1;POS_0906124_HI_01;;08/03/2029;;
5;20240331;1;POS_0906124_HI_02;;08/03/2029;;
5;20240331;1;POS_0906136_HI_01;;01/05/2024;;
5;20240331;1;POS_0906171_HI_01;;01/05/2029;;
5;20240331;1;POS_0906176_HI_01;;01/10/2030;;
5;20240331;1;POS_0906186_HI_01;;01/05/2029;;
5;20240331;1;POS_0906186_HI_02;;01/05/2029;;
5;20240331;1;POS_0906213_HI_01;;01/05/2029;;
5;20240331;1;POS_0906242_HI_01;;01/10/2029;;
5;20240331;1;POS_0906264_HI_01;;01/07/2029;;
5;20240331;1;POS_0906290_HI_01;;01/12/2027;;
5;20240331;1;POS_0906291_HI_01;;01/08/2027;;
5;20240331;1;POS_0906295_HI_01;;01/07/2024;;
5;20240331;1;POS_0906298_HI_01;;01/07/2024;;
5;20240331;1;POS_0906299_HI_01;;12/07/2024;;
5;20240331;1;POS_0906312_HI_01;;01/08/2029;;
5;20240331;1;POS_0906323_HI_01;;01/08/2024;;
5;20240331;1;POS_0906370_HI_01;;01/04/2027;;
5;20240331;1;POS_0906393_HI_01;;09/11/2029;;
5;20240331;1;POS_0906402_HI_01;;30/04/2028;;
5;20240331;1;POS_0906414_HI_01;;29/01/2028;;
5;20240331;1;POS_0906418_HI_01;;28/02/2038;;
5;20240331;1;POS_0906425_HI_01;;28/01/2040;;
5;20240331;1;POS_0906428_HI_01;;29/01/2028;;
5;20240331;1;POS_0906447_HI_01;;29/01/2038;;
5;20240331;1;POS_0906455_HI_01;;29/01/2028;;
5;20240331;1;POS_0906455_HI_02;;29/01/2028;;
5;20240331;1;POS_0906470_HI_01;;28/01/2025;;
5;20240331;1;POS_0906473_HI_01;;31/07/2023;;
5;20240331;1;POS_0906476_HI_01;;30/03/2033;;
5;20240331;1;POS_0906480_HI_01;;31/07/2026;;
5;20240331;1;POS_0906481_HI_01;;30/04/2033;;
5;20240331;1;POS_0906489_HI_01;;30/06/2028;;
5;20240331;1;POS_0906502_HI_01;;30/04/2039;;
5;20240331;1;POS_0906510_HI_01;;30/05/2028;;
5;20240331;1;POS_0906524_HI_01;;30/05/2028;;
5;20240331;1;POS_0906538_HI_01;;01/11/2029;;
5;20240331;1;POS_0906542_HI_01;;27/11/2024;;
5;20240331;1;POS_0906577_HI_01;;01/05/2028;;
5;20240331;1;POS_0906585_HI_01;;08/12/2024;;
5;20240331;1;POS_0906591_HI_01;;01/12/2029;;
5;20240331;1;POS_0906591_HI_02;;01/12/2029;;
5;20240331;1;POS_0906593_HI_01;;01/01/2033;;
5;20240331;1;POS_0906608_HI_01;;01/10/2032;;
5;20240331;1;POS_0906618_HI_01;;27/01/2025;;
5;20240331;1;POS_0906618_HI_02;;27/01/2025;;
5;20240331;1;POS_0906628_HI_01;;01/02/2030;;
5;20240331;1;POS_0906642_HI_01;;01/02/2025;;
5;20240331;1;POS_0906653_HI_01;;01/08/2040;;
5;20240331;1;POS_0906655_HI_01;;01/03/2030;;
5;20240331;1;POS_0906658_HI_01;;01/03/2025;;
5;20240331;1;POS_0906659_HI_01;;01/03/2025;;
5;20240331;1;POS_0906661_HI_01;;01/03/2030;;
5;20240331;1;POS_0906663_HI_01;;01/03/2030;;
5;20240331;1;POS_0906663_HI_02;;01/03/2030;;
5;20240331;1;POS_0906673_HI_01;;01/12/2036;;
5;20240331;1;POS_0906680_HI_01;;01/03/2030;;
5;20240331;1;POS_0906682_HI_01;;01/11/2039;;
5;20240331;1;POS_0906690_HI_01;;01/04/2025;;
5;20240331;1;POS_0906704_HI_01;;01/05/2025;;
5;20240331;1;POS_0906708_HI_01;;01/07/2023;;
5;20240331;1;POS_0906717_HI_01;;01/11/2033;;
5;20240331;1;POS_0906747_HI_01;;01/05/2030;;
5;20240331;1;POS_0906765_HI_01;;01/03/2030;;
5;20240331;1;POS_0906783_HI_01;;01/05/2040;;
5;20240331;1;POS_0906784_HI_01;;01/06/2035;;
5;20240331;1;POS_0906795_HI_01;;01/10/2035;;
5;20240331;1;POS_0906795_HI_02;;01/10/2035;;
5;20240331;1;POS_0906817_HI_01;;01/07/2030;;
5;20240331;1;POS_0906820_HI_01;;01/08/2030;;
5;20240331;1;POS_0906837_HI_01;;02/08/2030;;
5;20240331;1;POS_0906848_HI_01;;08/08/2025;;
5;20240331;1;POS_0906851_HI_01;;01/09/2030;;
5;20240331;1;POS_0906862_HI_01;;01/08/2030;;
5;20240331;1;POS_0906866_HI_01;;01/08/2030;;
5;20240331;1;POS_0906866_HI_02;;01/08/2030;;
5;20240331;1;POS_0906880_HI_01;;02/09/2025;;
5;20240331;1;POS_0906880_HI_02;;02/09/2025;;
5;20240331;1;POS_0906898_HI_01;;01/08/2023;;
5;20240331;1;POS_0906923_HI_01;;01/05/2027;;
5;20240331;1;POS_0906925_HI_01;;18/10/2025;;
5;20240331;1;POS_0906935_HI_01;;28/10/2030;;
5;20240331;1;POS_0906943_HI_01;;01/12/2030;;
5;20240331;1;POS_0906982_HI_01;;01/12/2025;;
5;20240331;1;POS_0906993_HI_01;;01/12/2030;;
5;20240331;1;POS_0907004_HI_01;;01/12/2025;;
5;20240331;1;POS_0907028_HI_01;;01/01/2026;;
5;20240331;1;POS_0907030_HI_01;;01/02/2026;;
5;20240331;1;POS_0907036_HI_01;;01/02/2031;;
5;20240331;1;POS_0907037_HI_01;;01/02/2031;;
5;20240331;1;POS_0907072_HI_01;;01/03/2021;;
5;20240331;1;POS_0907074_HI_01;;01/07/2034;;
5;20240331;1;POS_0907101_HI_01;;01/04/2031;;
5;20240331;1;POS_0907125_HI_01;;01/05/2031;;
5;20240331;1;POS_0907132_HI_01;;02/05/2026;;
5;20240331;1;POS_0907137_HI_01;;01/05/2026;;
5;20240331;1;POS_0907150_HI_01;;01/05/2031;;
5;20240331;1;POS_0907186_HI_01;;01/07/2031;;
5;20240331;1;POS_0907196_HI_01;;01/07/2031;;
5;20240331;1;POS_0907199_HI_01;;01/12/2024;;
5;20240331;1;POS_0907217_HI_01;;17/08/2026;;
5;20240331;1;POS_0907221_HI_01;;01/10/2028;;
5;20240331;1;POS_0907225_HI_01;;01/08/2031;;
5;20240331;1;POS_0907241_HI_01;;01/09/2014;;
5;20240331;1;POS_0907250_HI_01;;01/09/2031;;
5;20240331;1;POS_0907254_HI_01;;01/09/2036;;
5;20240331;1;POS_0907256_HI_01;;13/04/2031;;
5;20240331;1;POS_0907256_HI_02;;13/04/2031;;
5;20240331;1;POS_0907283_HI_01;;01/10/2034;;
5;20240331;1;POS_0907285_HI_01;;01/10/2026;;
5;20240331;1;POS_0907292_HI_01;;05/09/2024;;
5;20240331;1;POS_0907314_HI_01;;01/11/2031;;
5;20240331;1;POS_0907324_HI_01;;01/11/2031;;
5;20240331;1;POS_0907325_HI_01;;01/11/2014;;
5;20240331;1;POS_0907325_HI_05;;01/11/2014;;
5;20240331;1;POS_0907329_HI_02;;01/11/2014;;
5;20240331;1;POS_0907330_HI_01;;01/02/2025;;
5;20240331;1;POS_0907330_HI_02;;01/02/2025;;
